Name,Price,Address,Link,Description,Photo,Date parse,Source
Однушка с видом на березовую рощу,28500.0,"Красноярский край, Красноярск, р-н Советский, улица Светлова, 42",https://krasnoyarsk.cian.ru/rent/flat/317062838/,"Собственник!
АРЕНДА С 8 МАЯ!
ЕСТЬ КОНДИЦИОНЕР.

Сдам уютную, тёплую однокомнатную квартиру 40,4 м2 на длительный срок с видом на березовую рощу.
Оборудована всем необходимым, новым оборудованием:
1. Телевизор с wi-fi и смарт TV.
2. Прихожая с тех.комнатой (гладилка, утюг, сушилка, пылесос, фен).
3. Ванная комната со стиральной машиной.
4. Кухня с техникой  (микровалновка, духовой шкаф, варочная панель, холодильник) + посуда.

Требование к арендатору:
1. Порядочность. 
2. Платежеспособность.
3. Соблюдение чистоты.

Залог по договоренности можем разбить на 2 месяца.

Риэлторам просьба не беспокоить.

Садики, школа, продукторые магазины, остановка в шаговой доступности.","['https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647470-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475664771-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647441-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647470-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475664771-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647441-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475664785-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647458-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647432-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475664884-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647425-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647450-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647422-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647459-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-svetlova-ulica-2475647445-2.jpg']",2025-05-05,krasnoyarsk.cian.ru
Уютная квартира рядом с парком,22000.0,"Красноярский край, Красноярск, р-н Советский, мкр. Зеленая роща, Зеленая Роща мкр, улица Николаева, 9",https://krasnoyarsk.cian.ru/rent/flat/316587886/,"Сдаётся уютная однокомнатная квартира. Просторная и светлая, она идеально подойдёт для комфортного проживания. Окна выходят во двор, что обеспечивает тишину и спокойствие. .

Комната и кухня полностью меблированы, есть всё необходимое для жизни: холодильник, телевизор и стиральная машина, микроволновка. 

Очень удобное расположение дома: в шаговой доступности находятся ТЦ Роща, супермаркеты, большой сквер,  красивая набережная для прогулок. Также рядом остановка общественного транспорта. Легко добраться до любого района города.

Сдача квартиры осуществляется напрямую от собственника, без посредников и комиссии. Заезд возможен сразу после заключения договора. Для заключения сделки требуется предоплата за 1 месяц и залог. Коммунальные услуги оплачиваются  отдельно полностью по квитанции (по счетчикам).
Квартира идеально подойдёт для одного или двух человек.

Приглашаем на просмотр в удобное для вас время. Звоните, чтобы договориться о встрече и задать любые интересующие вопросы.
 
Квартира готова к заселению.
На видео сквер возле дома

-----
Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону","['https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2461751261-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2462370831-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2461751261-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2462370831-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2461751584-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2462386300-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2461932039-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2472030878-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2472035873-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2477117987-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-zelenaya-roshca-nikolaeva-ulica-2477118576-2.jpg']",2025-05-05,krasnoyarsk.cian.ru
Мичурина  однакомнатная .,9000.0,"Красноярский край, Красноярск, р-н Ленинский, улица 26 Бакинских Комиссаров, 15",https://krasnoyarsk.cian.ru/rent/flat/299140422/,"Сдам гостинку на долгий срок ,уютная ,теплая.","['https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-26-bakinskih-komissarov-2112219509-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-26-bakinskih-komissarov-2112219398-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-26-bakinskih-komissarov-2112226111-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-26-bakinskih-komissarov-2112219509-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-26-bakinskih-komissarov-2112219398-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-26-bakinskih-komissarov-2112226111-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-26-bakinskih-komissarov-2112226112-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-26-bakinskih-komissarov-2112198586-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-26-bakinskih-komissarov-2112219459-2.jpg']",2025-05-05,krasnoyarsk.cian.ru
"Без депозита, хороший район!",50000.0,"Красноярский край, Красноярск, р-н Ленинский, улица Мичурина, 2Ж",https://krasnoyarsk.cian.ru/rent/flat/314138034/,"Тихая большая квартира. Есть все необходимое для проживания.На кухне есть электрическая печь, СВЧ, электрочайник, холодильник посуда. В каждой комнате, плазменный телевизор, 2х кровать, два дивана (+ возможно еще спальное место). Есть стиральная машина, фен утюг гладильная доска.Проведен высокоскоростной интернет Wi-Fi и кабельное телевидение.

Инфраструктура : гипермаркет Okey , Батон , Красный Яр. СибГу М.Ф. Решетнева , завод АО Красмаш. Больницы КМКБ 20, ФМБА России .","['https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411521948-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411522087-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411544247-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411521948-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411522087-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411544247-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411548348-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411522371-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411544246-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411544248-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411523134-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411544250-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-michurina-2411544249-2.jpg']",2025-05-05,krasnoyarsk.cian.ru
"Без депозита, рядом пруд!",21400.0,"Красноярский край, Красноярск, р-н Свердловский, Кольцевая улица, 24",https://krasnoyarsk.cian.ru/rent/flat/315928720/,"Сдаётся солнечная угловая тёплая 1-комнатная квартира с совмещённым санузлом и лоджией. Без депозита! Её можно посмотреть когда Вам удобно: бронируете время, забираете ключи или встречаетесь с нашим представителем и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды. 

Коммунальные платежи и счётчики оплачиваются отдельно. Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть холодильник, микроволновка, газовая плита с духовкой и стиральная машина. Окна выходят во двор.

Можно обсудить заселение с собакой.

Во дворе есть бесплатная парковка. В пешей доступности - продуктовые магазины, медцентры, школы, кафе и ТЦ Атмосфера дома. Недалеко река Енисей.

В районе хорошая транспортная развязка.","['https://images.cdn-cian.ru/images/2447438982-1.jpg', 'https://images.cdn-cian.ru/images/2447438984-1.jpg', 'https://images.cdn-cian.ru/images/2447438986-1.jpg', 'https://images.cdn-cian.ru/images/2447438982-2.jpg', 'https://images.cdn-cian.ru/images/2447438984-2.jpg', 'https://images.cdn-cian.ru/images/2447438986-2.jpg', 'https://images.cdn-cian.ru/images/2447438988-2.jpg', 'https://images.cdn-cian.ru/images/2447438989-2.jpg', 'https://images.cdn-cian.ru/images/2447438990-2.jpg', 'https://images.cdn-cian.ru/images/2447438991-2.jpg', 'https://images.cdn-cian.ru/images/2447438992-2.jpg', 'https://images.cdn-cian.ru/images/2447438993-2.jpg', 'https://images.cdn-cian.ru/images/2447438994-2.jpg', 'https://images.cdn-cian.ru/images/2447438995-2.jpg', 'https://images.cdn-cian.ru/images/2447438996-2.jpg', 'https://images.cdn-cian.ru/images/2447438997-2.jpg', 'https://images.cdn-cian.ru/images/2447438998-2.jpg', 'https://images.cdn-cian.ru/images/2447439001-2.jpg', 'https://images.cdn-cian.ru/images/2447439006-2.jpg', 'https://images.cdn-cian.ru/images/2447439010-2.jpg', 'https://images.cdn-cian.ru/images/2447439017-2.jpg']",2025-05-05,krasnoyarsk.cian.ru
Уютная квартира! Есть балкон,15000.0,"Красноярский край, Красноярск, р-н Кировский, мкр. Торговый центр, имени газеты Красноярский Рабочий проспект, 110",https://krasnoyarsk.cian.ru/rent/flat/294353216/,Реальный вариант сдаётся на длительный срок только порядочным людям. Можно с детьми.  Чтобы вам ответили сразу конкретно и быстро  лучше позвонить!!!,"['https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-im-gazety-krasnoyarskiy-rabochiy-prospekt-2014835046-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-im-gazety-krasnoyarskiy-rabochiy-prospekt-2014835057-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-im-gazety-krasnoyarskiy-rabochiy-prospekt-2014835030-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-im-gazety-krasnoyarskiy-rabochiy-prospekt-2014835046-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-im-gazety-krasnoyarskiy-rabochiy-prospekt-2014835057-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-im-gazety-krasnoyarskiy-rabochiy-prospekt-2014835030-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-im-gazety-krasnoyarskiy-rabochiy-prospekt-2014835073-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-im-gazety-krasnoyarskiy-rabochiy-prospekt-2014835164-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-im-gazety-krasnoyarskiy-rabochiy-prospekt-2014835153-2.jpg']",2025-05-05,krasnoyarsk.cian.ru
Без залога! Можно с питомцем,21400.0,"Красноярский край, Красноярск, р-н Октябрьский, улица Вильского, 34",https://krasnoyarsk.cian.ru/rent/flat/316620395/,"Сдаётся уютная квартира-студия с совмещённым санузлом и лоджией в ЖК Серебряный. Без депозита! Её можно посмотреть когда Вам удобно: бронируете время, забираете ключи или встречаетесь с нашим представителем и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды. 

Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть холодильник и плита. Окна выходят на улицу.

С домашним питомцем нельзя.

Во дворе есть бесплатная парковка, детские и спортивные площадки. Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, продуктовые магазины, кафе, стоматологии, салоны красоты, фитнес-центры и ТЦ Рябина. Напротив дома находится Серебряный пруд и пляж-парк Прищепка.

До остановки общественного транспорта - 2 минуты пешком.","['https://images.cdn-cian.ru/images/2462815242-1.jpg', 'https://images.cdn-cian.ru/images/2462815249-1.jpg', 'https://images.cdn-cian.ru/images/2462815258-1.jpg', 'https://images.cdn-cian.ru/images/2462815242-2.jpg', 'https://images.cdn-cian.ru/images/2462815249-2.jpg', 'https://images.cdn-cian.ru/images/2462815258-2.jpg', 'https://images.cdn-cian.ru/images/2462815271-2.jpg', 'https://images.cdn-cian.ru/images/2462815281-2.jpg', 'https://images.cdn-cian.ru/images/2462815287-2.jpg', 'https://images.cdn-cian.ru/images/2462815307-2.jpg', 'https://images.cdn-cian.ru/images/2462815350-2.jpg', 'https://images.cdn-cian.ru/images/2462815363-2.jpg', 'https://images.cdn-cian.ru/images/2462815368-2.jpg', 'https://images.cdn-cian.ru/images/2462815387-2.jpg', 'https://images.cdn-cian.ru/images/2462815396-2.jpg', 'https://images.cdn-cian.ru/images/2462815405-2.jpg', 'https://images.cdn-cian.ru/images/2462815417-2.jpg']",2025-05-05,krasnoyarsk.cian.ru
"Сдам 4К ,пр-т Свободный",30000.0,"Красноярский край, Красноярск, р-н Свердловский, Свердловская улица, 6В",https://krasnoyarsk.cian.ru/rent/flat/316724856/,"Сдаётся светлая студия с балконом и совмещённым санузлом. Её можно посмотреть когда вам удобно: бронируете время, забираете ключи или встречаетесь с менеджером и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать вас на всех этапах аренды. Коммунальные услуги включены в арендную плату, счётчики оплачиваются отдельно.

Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой: есть холодильник, стиральная машина, телевизор, микроволновая печь, плита. Проведён интернет. Полы - плитка и линолеум. Окна выходят на улицу, на восток. Есть бесплатная парковка.

Собственник готов заселить не более 2 взрослых жильцов с детьми, докупить мебель/технику, обсудить оформление временной регистрации или заключить договор с юридическим лицом. Можно с небольшим питомцем. 

Дом находится в районе с развитой инфраструктурой: в пешей доступности - школы, продуктовые супермаркеты, кафе и закусочные, салоны красоты и парикмахерские, аптеки и медицинские учреждения, ТЦ Такмак.","['https://images.cdn-cian.ru/images/2465681800-1.jpg', 'https://images.cdn-cian.ru/images/2465681814-1.jpg', 'https://images.cdn-cian.ru/images/2465681833-1.jpg', 'https://images.cdn-cian.ru/images/2465681800-2.jpg', 'https://images.cdn-cian.ru/images/2465681814-2.jpg', 'https://images.cdn-cian.ru/images/2465681833-2.jpg', 'https://images.cdn-cian.ru/images/2465681841-2.jpg', 'https://images.cdn-cian.ru/images/2465681858-2.jpg', 'https://images.cdn-cian.ru/images/2465681872-2.jpg', 'https://images.cdn-cian.ru/images/2465681883-2.jpg', 'https://images.cdn-cian.ru/images/2465681900-2.jpg', 'https://images.cdn-cian.ru/images/2465681908-2.jpg', 'https://images.cdn-cian.ru/images/2465681918-2.jpg', 'https://images.cdn-cian.ru/images/2465681940-2.jpg', 'https://images.cdn-cian.ru/images/2465681961-2.jpg', 'https://images.cdn-cian.ru/images/2465681983-2.jpg', 'https://images.cdn-cian.ru/images/2465682004-2.jpg']",2025-05-05,krasnoyarsk.cian.ru
Уютная однушка,30000.0,"Красноярский край, Красноярск, р-н Советский, мкр. Взлетка, улица 78-й Добровольческой Бригады, 2",https://krasnoyarsk.cian.ru/rent/flat/316766895/,"Фото реальные.
Сдам в аренду 3-комн. квартиру.
Без мебели.
Собственник сдает  на длительный срок.
Свет, вода по счётчикам.
Вариант в наличии.
Звоните. Ответим на все вопросы.
Выездной риелтор!
Предоплату не берём. Оплата услуг после показа и подписания договора-найма
Услуги агентства недвижимости 50% от стоимости арендной платы","['https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466799461-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466800764-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466784623-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466799461-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466800764-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466784623-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466784589-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466800726-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466800757-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466800731-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466800735-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466799459-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-78-y-dobrovolcheskoy-brigady-ulica-2466784561-2.jpg']",2025-05-05,krasnoyarsk.cian.ru
"1-комн. квартира, 35,5 м², 4/10 этаж",26500.0,"Красноярский край, Красноярск, р-н Октябрьский, мкр. БСМП-ГорДК, улица Курчатова, 15/2",https://krasnoyarsk.cian.ru/rent/flat/315979476/,"Сдаётся светлая 1-комнатная квартира с совмещённым санузлом, без депозита! Её можно посмотреть когда вам удобно: бронируете время, забираете ключи или встречаетесь с менеджером и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать вас на всех этапах аренды. Коммунальные услуги включены в арендную плату, счётчики оплачиваются отдельно.

Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой: есть холодильник, стиральная машина, плита, чайник. Дополнительную мебель/технику можно приобрести в счёт арендной платы. Полы - плитка и линолеум. Окна выходят на улицу, на запад. Есть бесплатная парковка.

Собственник готов заселить не более 2 взрослых жильцов с детьми, обсудить оформление временной регистрации или заключить договор с юридическим лицом. Можно с небольшим домашним питомцем . 

Дом находится в районе с развитой инфраструктурой: в пешей доступности - школы, продуктовые супермаркеты, кафе и закусочные, салоны красоты и парикмахерские, аптеки и медицинские учреждения. Рядом - Серебряный сквер и парк Троя.","['https://images.cdn-cian.ru/images/2448465954-1.jpg', 'https://images.cdn-cian.ru/images/2448465962-1.jpg', 'https://images.cdn-cian.ru/images/2448465969-1.jpg', 'https://images.cdn-cian.ru/images/2448465954-2.jpg', 'https://images.cdn-cian.ru/images/2448465962-2.jpg', 'https://images.cdn-cian.ru/images/2448465969-2.jpg', 'https://images.cdn-cian.ru/images/2448465977-2.jpg', 'https://images.cdn-cian.ru/images/2448465992-2.jpg', 'https://images.cdn-cian.ru/images/2448465999-2.jpg', 'https://images.cdn-cian.ru/images/2448466015-2.jpg', 'https://images.cdn-cian.ru/images/2448466029-2.jpg', 'https://images.cdn-cian.ru/images/2448466052-2.jpg', 'https://images.cdn-cian.ru/images/2448466070-2.jpg', 'https://images.cdn-cian.ru/images/2448466091-2.jpg', 'https://images.cdn-cian.ru/images/2448466125-2.jpg', 'https://images.cdn-cian.ru/images/2448466139-2.jpg', 'https://images.cdn-cian.ru/images/2448466167-2.jpg', 'https://images.cdn-cian.ru/images/2448466176-2.jpg', 'https://images.cdn-cian.ru/images/2448466188-2.jpg', 'https://images.cdn-cian.ru/images/2448466212-2.jpg']",2025-05-05,krasnoyarsk.cian.ru
